 ,Label,Area,Mean,StdDev,Min,Max
310,mask,333,255,0,255,255
311,mask,223,255,0,255,255
312,mask,408,255,0,255,255
313,mask,220,255,0,255,255
314,mask,321,255,0,255,255
315,mask,220,255,0,255,255
316,mask,363,255,0,255,255
317,mask,244,255,0,255,255
318,mask,323,255,0,255,255
319,mask,299,255,0,255,255
320,mask,249,255,0,255,255
321,mask,342,255,0,255,255
322,mask,321,255,0,255,255
323,mask,423,255,0,255,255
324,mask,406,255,0,255,255
325,mask,278,255,0,255,255
326,mask,180,255,0,255,255
327,mask,217,255,0,255,255
328,mask,479,255,0,255,255
329,mask,285,255,0,255,255
330,mask,232,255,0,255,255
331,mask,360,255,0,255,255
332,mask,320,255,0,255,255
333,mask,282,255,0,255,255
334,mask,400,255,0,255,255
335,mask,215,255,0,255,255
336,mask,491,255,0,255,255
337,mask,281,255,0,255,255
338,mask,315,255,0,255,255
339,mask,370,255,0,255,255
340,mask,386,255,0,255,255
341,mask,282,255,0,255,255
342,mask,390,255,0,255,255
343,mask,352,255,0,255,255
344,mask,398,255,0,255,255
345,mask,404,255,0,255,255
346,mask,228,255,0,255,255
347,mask,331,255,0,255,255
348,mask,202,255,0,255,255
349,mask,369,255,0,255,255
350,mask,271,255,0,255,255
351,mask,339,255,0,255,255
352,mask,292,255,0,255,255
353,mask,249,255,0,255,255
354,mask,376,255,0,255,255
355,mask,368,255,0,255,255
356,mask,325,255,0,255,255
357,mask,348,255,0,255,255
358,mask,259,255,0,255,255
359,mask,387,255,0,255,255
360,mask,213,255,0,255,255
361,mask,319,255,0,255,255
362,mask,500,255,0,255,255
363,mask,371,255,0,255,255
364,mask,355,255,0,255,255
365,mask,186,255,0,255,255
366,mask,384,255,0,255,255
367,mask,381,255,0,255,255
368,mask,211,255,0,255,255
369,mask,422,255,0,255,255
370,mask,484,255,0,255,255
371,mask,367,255,0,255,255
372,mask,356,255,0,255,255
373,mask,435,255,0,255,255
374,mask,226,255,0,255,255
375,mask,278,255,0,255,255
376,mask,258,255,0,255,255
377,mask,398,255,0,255,255
378,mask,371,255,0,255,255
379,mask,375,255,0,255,255
380,mask,357,255,0,255,255
381,mask,264,255,0,255,255
382,mask,160,255,0,255,255
383,mask,307,255,0,255,255
384,mask,466,255,0,255,255
385,mask,419,255,0,255,255
386,mask,348,255,0,255,255
387,mask,324,255,0,255,255
388,mask,361,255,0,255,255
389,mask,329,255,0,255,255
390,mask,261,255,0,255,255
391,mask,330,255,0,255,255
392,mask,310,255,0,255,255
393,mask,361,255,0,255,255
394,mask,254,255,0,255,255
395,mask,288,255,0,255,255
396,mask,240,255,0,255,255
397,mask,192,255,0,255,255
398,mask,328,255,0,255,255
399,mask,342,255,0,255,255
400,mask,234,255,0,255,255
401,mask,375,255,0,255,255
402,mask,363,255,0,255,255
403,mask,299,255,0,255,255
404,mask,330,255,0,255,255
405,mask,401,255,0,255,255
406,mask,349,255,0,255,255
407,mask,346,255,0,255,255
408,mask,320,255,0,255,255
409,mask,353,255,0,255,255
410,mask,485,255,0,255,255
411,mask,340,255,0,255,255
412,mask,165,255,0,255,255
413,mask,182,255,0,255,255
414,mask,241,255,0,255,255
415,mask,326,255,0,255,255
416,mask,204,255,0,255,255
417,mask,383,255,0,255,255
418,mask,317,255,0,255,255
419,mask,206,255,0,255,255
420,mask,297,255,0,255,255
421,mask,334,255,0,255,255
422,mask,268,255,0,255,255
423,mask,200,255,0,255,255
424,mask,446,255,0,255,255
425,mask,252,255,0,255,255
426,mask,402,255,0,255,255
427,mask,382,255,0,255,255
428,mask,375,255,0,255,255
429,mask,246,255,0,255,255
430,mask,410,255,0,255,255
431,mask,349,255,0,255,255
432,mask,322,255,0,255,255
433,mask,342,255,0,255,255
434,mask,395,255,0,255,255
435,mask,364,255,0,255,255
436,mask,295,255,0,255,255
437,mask,347,255,0,255,255
438,mask,233,255,0,255,255
439,mask,236,255,0,255,255
440,mask,265,255,0,255,255
441,mask,296,255,0,255,255
442,mask,304,255,0,255,255
443,mask,324,255,0,255,255
444,mask,431,255,0,255,255
445,mask,304,255,0,255,255
446,mask,488,255,0,255,255
447,mask,260,255,0,255,255
448,mask,298,255,0,255,255
449,mask,234,255,0,255,255
450,mask,266,255,0,255,255
451,mask,273,255,0,255,255
452,mask,253,255,0,255,255
453,mask,238,255,0,255,255
454,mask,185,255,0,255,255
455,mask,240,255,0,255,255
456,mask,294,255,0,255,255
457,mask,338,255,0,255,255
458,mask,247,255,0,255,255
459,mask,242,255,0,255,255
460,mask,428,255,0,255,255
461,mask,422,255,0,255,255
462,mask,240,255,0,255,255
463,mask,286,255,0,255,255
464,mask,283,255,0,255,255
465,mask,241,255,0,255,255
466,mask,273,255,0,255,255
467,mask,45,255,0,255,255
468,mask,288,255,0,255,255
469,mask,341,255,0,255,255
470,mask,213,255,0,255,255
471,mask,480,255,0,255,255
472,mask,255,255,0,255,255
473,mask,418,255,0,255,255
474,mask,211,255,0,255,255
475,mask,95,255,0,255,255
476,mask,279,255,0,255,255
477,mask,129,255,0,255,255
478,mask,245,255,0,255,255
479,mask,287,255,0,255,255
480,mask,360,255,0,255,255
481,mask,217,255,0,255,255
482,mask,108,255,0,255,255
483,mask,387,255,0,255,255
484,mask,195,255,0,255,255
485,mask,246,255,0,255,255
486,mask,239,255,0,255,255
487,mask,342,255,0,255,255
488,mask,260,255,0,255,255
489,mask,393,255,0,255,255
490,mask,272,255,0,255,255
491,mask,372,255,0,255,255
492,mask,316,255,0,255,255
493,mask,369,255,0,255,255
494,mask,242,255,0,255,255
495,mask,245,255,0,255,255
496,mask,393,255,0,255,255
497,mask,282,255,0,255,255
498,mask,283,255,0,255,255
499,mask,253,255,0,255,255
500,mask,292,255,0,255,255
501,mask,35,255,0,255,255
502,mask,432,255,0,255,255
503,mask,291,255,0,255,255
504,mask,204,255,0,255,255
505,mask,242,255,0,255,255
506,mask,411,255,0,255,255
507,mask,406,255,0,255,255
508,mask,297,255,0,255,255
509,mask,440,255,0,255,255
510,mask,234,255,0,255,255
511,mask,380,255,0,255,255
512,mask,331,255,0,255,255
513,mask,222,255,0,255,255
514,mask,441,255,0,255,255
515,mask,400,255,0,255,255
516,mask,462,255,0,255,255
517,mask,319,255,0,255,255
518,mask,354,255,0,255,255
519,mask,281,255,0,255,255
520,mask,313,255,0,255,255
521,mask,221,255,0,255,255
522,mask,219,255,0,255,255
523,mask,308,255,0,255,255
524,mask,237,255,0,255,255
525,mask,245,255,0,255,255
526,mask,254,255,0,255,255
527,mask,257,255,0,255,255
528,mask,490,255,0,255,255
529,mask,253,255,0,255,255
530,mask,385,255,0,255,255
531,mask,250,255,0,255,255
532,mask,434,255,0,255,255
533,mask,272,255,0,255,255
534,mask,399,255,0,255,255
535,mask,303,255,0,255,255
536,mask,280,255,0,255,255
537,mask,269,255,0,255,255
538,mask,202,255,0,255,255
539,mask,387,255,0,255,255
540,mask,305,255,0,255,255
541,mask,349,255,0,255,255
542,mask,74,255,0,255,255
543,mask,316,255,0,255,255
544,mask,253,255,0,255,255
545,mask,270,255,0,255,255
546,mask,397,255,0,255,255
547,mask,350,255,0,255,255
548,mask,231,255,0,255,255
549,mask,428,255,0,255,255
550,mask,358,255,0,255,255
551,mask,227,255,0,255,255
552,mask,275,255,0,255,255
553,mask,37,255,0,255,255
554,mask,485,255,0,255,255
555,mask,237,255,0,255,255
556,mask,481,255,0,255,255
557,mask,345,255,0,255,255
558,mask,485,255,0,255,255
559,mask,234,255,0,255,255
560,mask,279,255,0,255,255
561,mask,236,255,0,255,255
562,mask,470,255,0,255,255
563,mask,253,255,0,255,255
564,mask,218,255,0,255,255
565,mask,263,255,0,255,255
566,mask,258,255,0,255,255
567,mask,292,255,0,255,255
568,mask,498,255,0,255,255
569,mask,266,255,0,255,255
